buggyCode,correctedCode
"#include <stdio.h>
#include <stdlib.h>
int main() {int a,b,c;
scanf(""%d%d%d"",&a&b&c);
if(a>=b+c||b>=a+c||(c>=a+b)||(a<=b-c)||(b<=a-c)||(c<=a-b)||(a<=c-b)||(b<=c-a)||(c<=b-a))
printf(""Cannot form a tringle"");
else
{if ((a*a>b*b+c*c)||(b*b>a*a+c*c)||(c*c>a*a+b*b)
printf(""Obtuse Tringle"");
else
printf(""Not Obtuse Tringle"")
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {int a,b,c;
scanf(""%d%d%d"",&a,&b,&c);
if(a>=b+c||b>=a+c||(c>=a+b)||(a<=b-c)||(b<=a-c)||(c<=a-b)||(a<=c-b)||(b<=c-a)||(c<=b-a))
printf(""Cannot form a tringle"");
else
{if ((a*a>b*b+c*c)||(b*b>a*a+c*c)||(c*c>a*a+b*b))
printf(""Obtuse Tringle"");
else
printf(""Not Obtuse Tringle"");
}	// Fill this area with your code.
	return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main()
{
    int a[10000],sum,N,i,j;
    scanf (""%d\n"",&N);
    for (i=0;i<N;i++)
    {
        scanf (""%d"",&arr[i]);
        printf (""%d debug"",arr[i]);
    }
    scanf (""\n"");
    scanf (""%d\n"",&sum);
    for (i=0;i<N;i++)
    {
        for (j=1;j<N;j++)
        {
          if (a[i]+a[j]==sum)
          {
              printf (""(%d,%d)\n"",a[i],a[j]);
          }
        }
    }
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main()
{
    int a[10000],sum,N,i,j;
    scanf (""%d\n"",&N);
    for (i=0;i<N;i++)
    {
        scanf (""%d"",&a[i]);
    }
    scanf (""\n"");
    scanf (""%d\n"",&sum);
    for (i=0;i<N;i++)
    {
        for (j=1;j<N;j++)
        {
          if (a[i]+a[j]==sum)
          {
              if (a[i]==a[j])
              break;
              printf (""(%d,%d)\n"",a[i],a[j]);
          }
        }
    }
	return 0;
}"
"#include <stdio.h>


int a[100]={0};
int n;

int getMax(int m)//k=upper limit function=getmax
{
    int i=0,max=0;
     
            if(a[0]<m)
                {
                    max=a[0];   
                }
            for(i=1;i<n;i++)
                {
                    if(a[i]<m&&a[i]>max)
                    max=a[i];
                }
            printf(""%d"",max);    
    
 return max;
}


int main()
{
int k,i,j,max1=0,p;    
scanf(""%d %d"",&n,&k);
for(i=0;i<n;i++)
    {
        scanf(""%d"",&a[i]);
    }
        
            
            for(j=1;j<=k;j++)
            {
            p=getMax(max);
            printf(""%d"",)
            max1=p;
            }
    return 0;
    
}","#include <stdio.h>
#include<limits.h>
int a[100]={0};
int n;
int getMax(int m)//k=upper limit function=getmax
{
    int i=0,max=0;
            if(a[0]<m)
                {
                    max=a[0];   
                }
            for(i=1;i<n;i++)
                {
                    if(a[i]<m&&a[i]>max)
                    max=a[i];
                }
            printf(""%d"",max);    
 return max;
}
int main()
{
int k,i,j,max=0,p;    
scanf(""%d %d"",&n,&k);
for(i=0;i<n;i++)
    {
        scanf(""%d"",&a[i]);
    }
           max=sizeof(int);  
            for(j=1;j<=k;j++)
            {
            p=getMax(max);
            printf(""%d"",p);
            max=p;
            }
    return 0;
}"
"#include <stdio.h>

int main() {
    int j;
    int k;
    int l;
    scanf(""%d%d%d"",&j,&k,&l);
    int s;
    int p;
    float avg;
    s=j+k+l;
    p=j*k*l;
    avg=s/3;
    printf(""%d""\n,s);
    printf(""%d"",p)
	// Fill this area with your code.
	return 0;
}","#include <stdio.h>
int main() {
    int j;
    int k;
    int l;
    scanf(""%d%d%d"",&j,&k,&l);
    int s;
    int p;
    float avg;
    s=j+k+l;
    p=j*k*l;
    avg=s/3;
    printf(""%d%d%f"",s,p,avg);
	return 0;
}"
"#include <stdio.h>

int main() {
	int N1,N2;
	int a[N1],b[N2];
	scanf(""%d\n"",&N1);
	for(i=0;i<N1;i++){
	    scanf(""%d "",&a[i]);
	    printf(""\n"");
	}
	scanf(""%d\n"",&N2);
	if(N2>N1){
	    printf(""NO"");
	    exit(0);
	}
	for(i=0;i<N2;i++){
	    scanf(""%d "",&b[i]);
	}
	    for(j=0;j<N1;j++){
	        if(b[0]==a[j]){
	            count=count+j;
	       break;
	        }}
	  if((count==0)||((N1-j)<N2)){     printf(""NO"");
	    exit(0);}  
	   else if{
	       for(i=0;i<N2;i++){
	           if(b[i]=a[count+i]){
	               num=num+1;
	           }
	       }
	   }
	}
	if(num==N2){printf(""YES"");}
	else{printf(""NO"");}
	return 0;
}","#include <stdio.h>
int main() {
	int N1,N2,i,j,num=0,count=0;
	int a[N1],b[N2];
	scanf(""%d\n"",&N1);
	for(i=0;i<N1;i++){
	    scanf(""%d "",&a[i]);
	    printf(""\n"");
	}
	scanf(""%d\n"",&N2);
	if(N2>N1){
	    printf(""NO"");
	    exit(0);
	}
	for(i=0;i<N2;i++){
	    scanf(""%d "",&b[i]);
	}
	    for(j=0;j<N1;j++){
	        if(b[0]==a[j]){
	            count=count+j;
	       break;
	        }}
	  if((count==0)||((N1-count)<N2)){     printf(""NO"");
	    exit(0);}  
	       for(i=0;i<N2;i++){
	           if(b[i]=a[count+i]){
	               num=num+1;}
	               else{printf(""NO"");
	    exit(0);
	}
	       }
	if(num=N2){printf(""YES"");}
	else{printf(""NO"");}
	return 0;
}"
"#include <stdio.h>
    int rot(int a[],n+1);
    int j;
    for(j=0;j<n+1;j++)
            {a[j]=a[j+1];}
    return a[j];
        

int main()
{
    int n,a[100],i,d,j;
    scanf(""%d"",&n);
    for(i=0;i<n;i++){
        scanf(""%d"",&a[i]);
    }
    scanf(""%d"",&d);
    for(i=n-1;i>=n-d;i--){
        rot(a[],n);
        a[0]=a[i+1];
    }
    for(i=0;i<n;i++){
        printf(""%d "",a[i]);
    }
  
    return 0;
}","#include <stdio.h>
  /*  int rot(int a[],n+1);
    int j;
    for(j=0;j<n+1;j++)
            {a[j]=a[j+1];}
    return a[j];*/
int main()
{
    int n,a[100],i,d,j;
    scanf(""%d"",&n);
    for(i=0;i<n;i++){
        scanf(""%d"",&a[i]);
    }
    scanf(""%d"",&d);
    for(i=n-1;i>=n-d;i--){
        a[0]=a[i+1];
    }
    for(i=0;i<n;i++){
        printf(""%d "",a[i]);
    }
    return 0;
}"
"#include <stdio.h>
int main(){
   int n,i,j,t=0;
   scanf(""%d"",&n);
   int a[n];
   for(i=0;i<n;i++)
   scanf(""%d"",&a[i]);
   for(j=1;j<n;j++)
       {
           if((a[0]==j))
           {
            break;
           }
           t++;
           if(a[0]==a[j]))
           {break;}
           t++;
       }
       printf(""%d"",t);
  

    return 0;
}","#include <stdio.h>
int main(){
   int n,i,c=0,j,t;
   scanf(""%d"",&n);
   int a[n+1];
   for(i=1;i<=n;i++)
   scanf(""%d"",&a[i]);
   for(i=1;i<=n;i++)
   {t=1;
   for(j=2;j<=n;j++)
       {
           if(a[i]==a[j])
           {c=1;break;}
           t++;
           if(a[i]==j+1)
           {
            c=1;break;
           }
           t++;
       }
       if(c==1)
       {
           break;
       }
   }   
       printf(""%d "",t);
    return 0;
}"
"#include<stdio.h>
#include<limits.h>

int main()
{
    int n,m;
    int rowindex,colindex;
    int rowmax=0,min_of_max=0;
    scanf(""%d%d"",&n,&m);//reading no of column and no of rows
    for(rowindex=0;rowindex<m;rowindex++){
        for(colindex=0;colindex<n;coindex++){
            scanf(""%d"",&a);
            if(rowmax<a){
                rowmax=a;
            }
        }
        if(min_of_max>rowmax){
            min_of_max=rowmax;
        }
    }
    printf(""%d"",min_of_max);
    return 0;
}","#include<stdio.h>
#include<limits.h>
int main()
{
    int n,m,a;
    int rowindex,colindex;
    int rowmax=0,min_of_max=0;
    scanf(""%d%d\n"",&n,&m);//reading no of column and no of rows
    for(rowindex=0;rowindex<m;rowindex++){
        for(colindex=0;colindex<n;colindex++){
            scanf(""%d"",&a);
            if(rowmax<a){
                rowmax=a;
            }
        }
        if(min_of_max>rowmax){
            min_of_max=rowmax;
        }
    }
    printf(""%d"",min_of_max);
    return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
	int a,b,c;
	scanf(""%d%d%d"",&a,&b,&c);
	if(a*a==b*b+c*c||b*b==a*a+c*c||c*c==a*a+b*b){
	    printf(""right triangle"");}
	    else
	    {if(a+b>c&&b+c>a&&a+c>b){
	        printf(""not right triangle"");
	    }
	    else{printf(""cannot form a triangle"");}
	    }
	}
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	int a,b,c;
	scanf(""%d%d%d"",&a,&b,&c);
	if(a*a==b*b+c*c||b*b==a*a+c*c||c*c==a*a+b*b){
	    printf(""Right Triangle"");}
	    else
	    {if(a+b>c&&b+c>a&&a+c>b){
	        printf(""Not Right Triangle"");
	    }
	    else{printf(""Cannot form a triangle"");}
	    }
	return 0;
}"
"#include <stdio.h>

int main()
{
    int n,i,j,a[],b[],c[],c=0,b,p=0;
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
    scanf(""%d"",&a[i]);
    for(i=0;i<n;i++){
        b=a[i];
        for(j=i;j<n;j++){
            if(b==a[j]) c++;
        }
    if(b!=c) printf(""No""); p++, break;
        
    }
    if(p=0) printf(""Yes"");
  
    return 0;
    
}","#include <stdio.h>
int main()
{
    int n,i,j,a[100],b[100],c=0,p=0;
    scanf(""%d"",&n);
    for(i=0;i<n;i++){
    scanf(""%d,"",&a[i]);}
    for(i=0;i<n;i++)
    /* comp the value a[i] with all others value if it match then increse by 1  */
    {
        c=0;
        for(j=0;j<n;j++)
        {
            if(a[i]==a[j]) c++;
        }
    if(a[i]!=c) { p++;} /* if no of a[i] not equal to value of then p is incresed by 1 which show array  is not superArray*/
    }
    if(p!=0){ printf(""No"");}
 else printf(""Yes"");
    return 0;
}"
"#include <stdio.h>
int main(){

    int k;
    scanf(""%d"",&k);
    int n;
    scanf(""%d"",&n);
    int arr[500];
    int f=0;    
    for(int i=o;i<500;i++)
    {
        arr[i]=0;
    }
    for(int i=0;i<n;i++)
    {
        int t;
        scanf(""%d"",&t);
        int arr[t-1]++;
    }
    for(int i=0;i<k/2;i++)
    {
        if(arr[i]>0&&arr[k-i]>0)
        {
            flag=1;break;
        }
    }
    if(flag)
    printf(""lucky"");
    else
    printf(""unlucky"");

    return 0;
}","#include <stdio.h>
int main(){
    int k;
    scanf(""%d"",&k);
    int n;
    scanf(""%d"",&n);
    int arr[500];
    int f=0;    
    for(int i=0;i<500;i++)
    {
        arr[i]=0;
    }
    for(int i=0;i<n;i++)
    {
        int t;
        scanf(""%d"",&t);
        arr[t]++;
    }
    for(int i=0;i<k/2;i++)
    {
        if(arr[i]>0&&arr[k-i]>0)
        {
            f=1;break;
        }
    }
    if(f)
    printf(""lucky"");
    else
    printf(""unlucky"");
    return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
	int a,b,c;
	scanf(""%d%d%d"",&a,&b,&c);
	if ((a+b>c)&&(b+c>a)&&(c+a>b))
	{
	    if((a>b)&&(a>c)&&(b*b+c*c<a*a))
	    {printf(""Obtuse Triangle"");}
	    else {printf(""Not Obtuse Triangle"");}
	    else {if ((b>c)&&(b>a)&&(a*a+c*c<b*b))
	    {printf(""Obtuse Triangle"");}}
	        else {printf(""Not Obtuse Triangle"");}
	        else if ((c>b)&&(c>a)&&(a*a+b*b<c*c))
	        {printf(""Obtuse Triangle"");}
	    else {printf(""Not Obtuse Triangle"");}
	}
	else
	{printf(""Cannot form a Triangle"");}
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	int a,b,c;
	scanf(""%d%d%d"",&a,&b,&c);
	if ((a+b>c)&&(b+c>a)&&(c+a>b))
	{
	    if((a>b)&&(a>c)&&(b*b+c*c<a*a))
	    {printf(""Obtuse Triangle"");}
	    else 
	    {printf(""Not Obtuse Triangle"");}
	    if ((b>c)&&(b>a)&&(a*a+c*c<b*b))
	    {printf(""Obtuse Triangle"");}
	        else {printf(""Not Obtuse Triangle"");}
	         if ((c>b)&&(c>a)&&(a*a+b*b<c*c))
	        {printf(""Obtuse Triangle"");}
	    else {printf(""Not Obtuse Triangle"");}
	}
	else
	{printf(""Cannot form a Triangle"");}
	return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() 
{
    long int N,S,i,k;
    long int a[10002];
    scanf(""%ld\n"",&N);
    for(i=0;i<N;i++)
    {
        scanf(""%ld"",&a[i]);
    }
    scanf(""%ld\n"",&S);
    for(i=0;i<n;i++)
    {
        for(k=i+1;k<n;k++)
        {
            if(a[i]+a[k]==S)
            {
                printf(""(%ld %ld)"",a[i],a[k]);
            }
        }
    }
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() 
{
    long int N,S,i,k;
    long int a[10002];
    scanf(""%ld\n"",&N);
    for(i=0;i<N;i++)
    {
        scanf(""%ld"",&a[i]);
    }
    scanf(""%ld\n"",&S);
    for(i=0;i<N;i++)
    {
        for(k=i+1;k<N;k++)
        {
            if(a[i]+a[k]==S)
            {
                printf(""(%ld %ld)"",a[i],a[k]);
            }
        }
    }
	return 0;
}"
"#include <stdio.h>

int main()
{
  int n;
  scanf(""%d"",&n);
  int a[100];
  int ch,count,i=0;
  ch=getchar();
  while(i!=n)
  {
      if(ch==',')
      {
          continue;
      }
        else
        {
          a[i]=ch;    
        }
      i=i+1;  
      
  }
   for(i=0;i<n;i++)
   {
       count=0;
       for(j=0;j<n;j++)
       {
           if(a[i]==a[j])
           {
               count=count+1;
           }
       }
   if(a[i]!=count)
   {
        printf(""No"");
        retutn 0;
   }
       
   }
   printf(""Yes"");
   
       return 0;
    
}","#include <stdio.h>
int main()
{
  int n;
  scanf(""%d "",&n);
  int a[100];
  int ch;
  int count;
  int j,k,i=0;
  ch=getchar();
  while(i!=n)
  {
      if(ch==',')
      {
          continue;
      }
        else
        {
          a[i]=ch;    
        }
      i=i+1;  
      ch=getchar();
  }
  for(i=0;i<n;i++)
  printf(""%d"",a[i]);
  /* for(j=0;j<i;j++)
   {
       count=0;
       for(k=0;k<i;k++)
       {
           if(a[j]==a[k])
           {
               count=count+1;
           }
       }
       if(a[j]!=count)
        {
        printf(""No"");
        return 0;
        }
   }
  printf(""Yes"");*/
   return 0;
}"
"#include <stdio.h>
int main() {
    int m,a,b,c,d;
    scanf(""%d\n"",&m);
     int num[m];
     int max(int c,int d);
     if(c<d){
         return d;
     }
     else{
         return c;
     }
     int min(c,d)
     if(c<d){
         return c;
     }
     else{
         return d;
     }
     a=max(num[m]);
     b=min(num[m]);
    b=a;
    for(int i=1;i<=m;i++){
        scanf(""%d"",&num[i]);
    }
      for(int j=1;j<=m;j++){
         printf(""%d"",num[j]);
      }
    
    
    // Insert your code here
    printf(""end""); //do not modify this 
    return 0;
}","#include <stdio.h>
int main() {
    int m,a,b,c,d;
    scanf(""%d\n"",&m);
     int num[m];
     int max(int c,int d);
     if(c<d){
         return d;
     }
     else{
         return c;
     }
     int min(int c,int d);
     if(c<d){
         return c;
     }
     else{
         return d;
     }
     a=max(num[m],num[m]);
     b=min(num[m],num[m]);
    b=a;
    for(int i=1;i<=m;i++){
        scanf(""%d"",&num[i]);
    }
      for(int j=1;j<=m;j++){
         printf(""%d"",num[j]);
      }
    printf(""end""); //do not modify this 
    return 0;
}"
"#include <stdio.h>

int main() {
int n,m;
int i,arr[20];
scanf(""%d\n"",&n);
for(i=0;i<n;i++){
    scanf(""%d "",&arr[i]);
}
printf(""\n"");
scanf(""%d\n"",&m);
for(i=0;i<m;i++){
    scanf(""%d "",&arr[i]);
}

for(i=0;i<n;i++){
    for(j=0;j<m,m<n;j++){
      if(arr[i]==arr[j]){
          k=1;
      }
    }
    if(k==1){
        printf(""YES"");
    }
    else{
        printf(""NO"")
    }
}
	return 0;
}","#include <stdio.h>
int main() {
int n,m,k=0,j;
int i,arr[20];
scanf(""%d\n"",&n);
for(i=0;i<n;i++){
    scanf(""%d "",&arr[i]);
}
printf(""\n"");
scanf(""%d\n"",&m);
for(i=0;i<m;i++){
    scanf(""%d "",&arr[i]);
}
for(i=0;i<n;i++){
    for(j=0;j<m;j++){
      if(arr[i]==arr[j]){
          k=1;
      }
    }
    if(k==1){
        printf(""YES"");
    }
    else{
        printf(""NO"");
    }
}
	return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
	int h; //height
	scanf(""%d"", &h);
	int i,a,b,c;//all for loops
	for (i=1;i<=(h+1)/2;i++)
	    {
	        for (a=((h+1)/2)-i;a>=1;a--)
	            printf("" "");
	        for (b=1;b<=i;b++)
	            printf(""%d"",c=(h+1)/2-i+b);
	       printf(""\n"");
	    }
	int j,d,e,f;
	for (j=1;j<=(h-1)/2;j++)
	    {
	        for (d=1;d<=j;d++)
	            printf("" "");
	        for (e=1;e<=((h+1)/2)-j;e++)
	            printf(""%d"",f=);
	            printf(""\n"");
	    }
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	int h; //height
	scanf(""%d"", &h);
	int i,a,b,c;//all for loops
	for (i=1;i<=(h+1)/2;i++)
	    {
	        for (a=((h+1)/2)-i;a>=1;a--)
	            printf("" "");
	        for (b=1;b<=i;b++)
	            printf(""%d"",c=(h+1)/2-i+b);
	       printf(""\n"");
	    }
	int j,d,e,f;
	for (j=1;j<=(h-1)/2;j++)
	    {
	        for (d=1;d<=j;d++)
	            printf("" "");
	        for (e=1;e<=((h+1)/2)-j;e++)
	            printf(""%d"",f=1);
	            printf(""\n"");
	    }
	return 0;
}"
"#include <stdio.h>

int main()
{
    int n,a;
    scanf(""%d"",&n);
    for(int i=0;i<n;i++)
    {
        for(int i=0;i<n;i++)
        {
              scanf(""%d"",&a);
                if(i==j)
             {
                 if(a==1)
               {
                    printf(""GIVEN n*n matrix is an IDENTITY MATRIX"");
               }
                   else
                    printf(""GIVEN n*n matrix is NOT an IDENTITY MATRIX"")
              }
        }
        printf(""\n"");
    }
 
 
    
    return 0;
}","#include <stdio.h>
int main()
{
    int n,a;
    scanf(""%d"",&n);
    for(int i=0;i<n;i++)
    {
        for(int j=0;j<n;j++)
        {
              scanf(""%d"",&a);
                if(i==j)
             {
                 if(a==1)
               {
                    printf(""GIVEN n*n matrix is an IDENTITY MATRIX"");
                    continue;
               }
                   else
                    printf(""GIVEN n*n matrix is NOT an IDENTITY MATRIX"");
                    continue;
              }
        }
        printf(""\n"");
    }
    return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
	int n,k,i,j,s;
	scanf(""%d"",&n);
	int a[n];
	for(k=0,k<n;k++)
	scanf(""%d"",&a[k]);
	scanf(""%d"",&s);
	for(i=0;i<n-1;i++)
	{
	    for(j=1;j<n;j++)
	if(a[i]+a[j]==s)
	printf(""(%d,%d)"",a[i],a[j]);
	}
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	int n,k,i,j,s;
	scanf(""\n%d"",&n);
	int a[n];
	for(k=0;k<n;k++)
	scanf(""%d"",&a[k]);
	scanf(""%d"",&s);
	for(i=0;i<n-1;i++)
	{
	    for(j=1;j<n;j++)
	if(a[i]+a[j]==s)
	printf(""(%d,%d)"",a[i],a[j]);
	}
	return 0;
}"
"#include<stdio.h>

int main()
{   int a,b,c;//lengths for three sides of a triangle;
scanf (""%d%d%d"",&a,&b,&c);//input three integers
if {triangle is invalid 
    ((a+b)>c);//condition of invalid triangle
    {printf (""invalid"",triangle);
    }
    else { printf (""valid"",triangle);
    }
}
if triangle is acute  {
    ((a*a + b*b)>=(c*c));//condition for acute triangle
    {printf (""acute"",triangle);
    }
else {printf (""not acute"",triangle);
}
if triangle is right {
    ((a*a + b*b)= (c*c));//condition for right triangle
    {printf (""right"",triangle);
    }
    else {printf (""not right"",triangle);
    }
    if triangle is obtuse {
    ((a*a +b*b)<= (c*c));//condition of obtuse triangle
    { printf (""obtuse"",triangle);
    }
    }
}
    
    
}
    
    return 0;
}","#include<stdio.h>
int main()
{   int a,b,c;//lengths for three sides of a triangle;
scanf (""%d%d%d"",&a,&b,&c);//input three integers
if  ((a+b)>c)//condition of invalid triangle
    {printf (""invalid"");
    }
if  
    ((a*a + b*b)>=(c*c))//condition for acute triangle
    {printf (""acute"");
    }
if  
    ((a*a + b*b)==(c*c))//condition for right triangle
    {printf (""right"");
    }
if   
    ((a*a + b*b)<=c*c)//condition of obtuse triangle
    { printf (""obtuse"");
    }
 return (0);
 }"
"#include <stdio.h>
#include <stdlib.h>
int main() {
	int n,i,j;
	scanf(""%d"",&n);
	for(i=1;i<n;i++)
	{
	    for(j=n-i;j>0;j--)
	    printf("" "");
	    printf(""*"");
	    for(k=0;k<i-1;k++)
	    printf("" "");
	    printf(""*\n"");
	}
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	int n,i,j,k;
	scanf(""%d"",&n);
	for(i=1;i<n;i++)
	{
	    for(j=n-i;j>0;j--)
	    printf("" "");
	    printf(""*"");
	    for(k=0;k<i-1;k++)
	    printf("" "");
	    printf(""*\n"");
	}
	return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main()
{
    int n,i,j;
    scanf(""%d"",&n);
    for(i=1;i<=n/2+1;i++)     //to print above half triangle
	{
	    for(j=i;j<5;j++)      //for spaces
	    {
	        printf("" "");      
	    }
	    for(j=1;j<=2*i-1;j++)   //for *
	    {
	        printf(""*"");
	    }
	    printf(""\n"");
	}
	for(i=1;i<=n/2;i++)     //to print below half triangle
	{
	    for(j=1;j<=i;j++)   //for spaces
	    {
	        printf("" "");
	    }
	    for(j=1;j>9-2*i;j+)   //for *
	    {
	        printf(""*"");
	    }
	    printf(""\n"");
	}
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main()
{
    int n,i,j;
    scanf(""%d"",&n);
    for(i=1;i<=n/2+1;i++)     //to print above half triangle
	{
	    for(j=i;j<5;j++)      //for spaces
	    {
	        printf("" "");      
	    }
	    for(j=1;j<=2*i-1;j++)   //for *
	    {
	        printf(""*"");
	    }
	    printf(""\n"");
	}
	for(i=1;i<=n/2;i++)     //to print below half triangle
	{
	    for(j=1;j<=i;j++)   //for spaces
	    {
	        printf("" "");
	    }
	    for(j=1;j>9-2*i;j++)   //for *
	    {
	        printf(""*"");
	    }
	    printf(""\n"");
	}
	return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
	int i,n,s,a[200];
	scanf(""%d"",&n);
	for(i=0;i<n;i++)
	{
	    scanf(""%d"",&a[i]);
	}
	scanf(""%d"",&s);
	for(i=0;i<n;i++)
	{
	    for(j=0;j<n;j++)
	    if(a[i]+a[j]==s)
	    printf(""(%d,%d"",a[i],a[j]);
	}
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	int i,j,n,s,a[200];
	scanf(""%d"",&n);
	for(i=0;i<n;i++)
	{
	    scanf(""%d"",&a[i]);
	}
	scanf(""%d"",&s);
	for(i=0;i<n;i++)
	{
	    for(j=0;j<n;j++)
	    if(a[i]+a[j]==s)
	    printf(""(%d,%d"",a[i],a[j]);
	}
	return 0;
}"
"#include <stdio.h>
int main(){
     int i,n;
     scanf(""%d"",&n);
     int a[n];
     a[0]=1;
     for(i=1;i<n;i=i+1)
        scanf(""%d"",&a[i]);
     for(i=0;i<n;i=i+1){
         for(j=i+1;j<n;j=j+1){
             if(a[i]==a[j])
             break;
         }int t=j;
     int k=j-i;
     }printf(""%d %d"",t,k);
    return 0;
}","#include <stdio.h>
int main(){
     int i,j,n,t,k;
     scanf(""%d"",&n);
     int a[n];
     a[0]=1;
     for(i=1;i<=n;i=i+1)
        scanf(""%d"",&a[i]);
     for(i=0;i<=n;i=i+1){
         for(j=i+1;j<=n;j=j+1){
             if(a[i]==a[j])
             break;
         }t=i;
       k=j-i;
     }printf(""%d %d"",t,k);
    return 0;
}"
"#include <stdio.h>
int main()
{
    int n;
    scanf(""%d"",&n);
    int r[n];
    int f[n]; //f[n] denotes the room where dany is after (n+1) minutes.
    int k;
    for(k=0;k<n;k++)
    scanf(""%d"",&r[k]);
    int i,j;
    f[0]=r[0];
    for(i=1;i<n;i++)
    {
        f[i]=r[(f[i-1])];  //f[i] gives the room where dany is after (i+1) minutes
        printf(""%d "",f[i]); 
        for(j=0;j<i;j++)
        {
            if (f[j]==f[i]) //if the f[i]'th room is same as f[j]'th room, then loop starts. Time of loop should be(i-j) minutes. 
            break;
            
        }    
    }
  //  printf(""%d %d"",i+1,i-j);
  printf(""%d"",r[r(1)]]);
    return 0;
}","#include <stdio.h>
int main()
{
    int n;
    scanf(""%d"",&n);
    int r[n];
    int f[n];
    int k;
    for(k=0;k<n;k++)
    scanf(""%d"",&r[k]);
    int i,j;
    f[0]=r[0];
    for(i=1;i<n;i++)
    {
        f[i]=r[(f[i-1])];
        for(j=0;j<i;j++)
        {
            if (f[i]==f[j])
            break;
        }    
    }
    printf(""%d %d"",i+1,i-j+1);
    return 0;
}"
"#include <stdio.h>
//#include<math.h>

int main()
{   float ax,ay,cx,cy,px,py;
float x1,x2,y1,y2;
    scanf(""%f%f\n%f%f\n%f%f"",&ax,&ay,&cx,&cy,&px,&py);
//((abs(px)>abs(ax)||abs(px)>abs(cx))&&(abs(py)>abs(ay)||abs(py)>abs(cy)))  printf(""Point is outside the rectangle."");
//else if((abs(px)<abs(ax)||abs(px)<abs(cx))&&(abs(py)<abs(ay)||abs(py)<abs(cy)))  printf(""Point is inside the rectangle."");
//else printf(""Point is on the rectangle."");
	if(ax>cx) {x1=cx; x2=ax; }
	else{ x1= ax; x2=cx;}
	if(ay>cy) {y1=cy; y2=ay; }
	else{ y1= ay; y2=cy;}
	if((px>x1&&px<x2)&&(py>y1&&py<y2))
	printf(""Point is inside the rectangle."");
	else if(((px==x1||px==x2) && (py >= y1 && py <= y2)) || ((py==y1||py==y2)&&(px>=x1&&px<=x2))
	printf(""Point is on the rectangle."");
	else
	printf(""Point is outside the rectangle."");
	
	return 0;
}","#include <stdio.h>
#include<math.h>
int main()
{   float ax,ay,cx,cy,px,py;
    scanf(""%f%f\n%f%f\n%f%f"",&ax,&ay,&cx,&cy,&px,&py);
if((abs(px)>abs(ax)||abs(px)>abs(cx))&&(abs(py)>abs(ay)||abs(py)>abs(cy)))  printf(""Point is outside the rectangle."");
else if((abs(px)<abs(ax)||abs(px)<abs(cx))&&(abs(py)<abs(ay)||abs(py)<abs(cy)))  printf(""Point is inside the rectangle."");
else printf(""Point is on the rectangle."");
	return 0;
}"
"#include <stdio.h>
int main()
{
    int n,i,
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
    {
        for(j=0;j<n/2;j++)
        if(j==n/2-i)
        printf(""*"");
        else
        printf("" "");
        printf(""\n"");
    }
    return 0;
}","#include <stdio.h>
int main()
{
    int n,i,j;
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
    {
        for(j=0;j<n/2;j++)
       {    if(j==n/2-i)
            printf(""*"");
            else
            printf("" "");
       }     
       printf(""*\n"");
    }
    return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
#include <math.h>
int main() {
	double a,b,i,j;
	int n;
	scanf(""%lf%lf%d"",&a,&b,&n);
	double dx=(b-a)/n;
	double fx=0.0,gx=0.0;
	for(i=a;i<=b;i=dx{
	    fx+=-i*i+3*i;
	}
	for(j=a;j<=b;j=dx){
	    gx+=2*j*j*j-j*j-5*j;
	}
	double area=fabs(f(x)-g(x))*dx;
	printf("".4%lf"",&area);
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
#include <math.h>
int main() {
	double a,b,i,j;
	int n;
	scanf(""%lf%lf%d"",&a,&b,&n);
	double dx=(b-a)/n;
	double fx=0.0,gx=0.0;
	for(i=a;i<=b;i=dx){
	    fx+=-i*i+3*i;
	}
	for(j=a;j<=b;j=dx){
	    gx+=2*j*j*j-j*j-5*j;
	}
	double area=fabs(fx-gx)*dx;
	printf(""%.4llf"",&area);
	return 0;
}"
